"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",1,165000,169000,169900,168950,164900,164900,159900,159900,162700,165000,165000,168950,168900,167500,167500,164500,167500,164900,162500,159900,159900,159000,155000,154900,150000,154000,154000,154500,158106,156950,159900,159900,159500,159900,159900,163000,162700,161250,159900,159900,162575,159900,159500,159900,159900,159700,164900,164950,164450,169000,169000,169000,169000,168950,165000,167500,165000,179900,179900,179900,179900,180000,182000,179900,179975,182250,186250,187750,185000,189850,189900,195000,199900,202500,2e+05,206000,209900,202500,2e+05,209000,210000,217450,224900,225000,220000,220000,227674,226000,225000,229950,239000,235000,241000,244000,245000,239900,241200,241200,249900,251250,255000,261250,260000,259450,250000,249000,257000
"Maryvale","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",2,147450.5,142000,139900,136900,135900,129375,129662.5,129250,127250,125000,124900,122000,124990,128245,124900,125000,122900,119900,116245,114900,109000,109900,109900,110000,119894,119900,121950,125900,124450,130000,135000,130000,135000,139000,134900,137500,135000,135300,139500,143000,148900,149650,152500,155000,159999.5,165000,160000,165000,166900,167900,169950,175000,175000,173000,172575,169990,169900,170000,170000,170500,169900,169900,176950,178000,180000,179900,177000,179900,182500,179950,184900,184999,186500,187800,187400,195000,196900,199000,199950,199000,197750,198700,199000,203500,209900,214950,210000,214900,210000,219888,219999.5,220000,218900,219900,219000,219000,224950,225000,229900,229900,225785,229950,230000,229999,235000,236450,239994.5
"Paradise","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",3,145000,144900,144900,142000,140790,138000,135100,137000,134900,135000,135000,134894,130000,129900,129000,129000,126900,125000,124900,124000,124900,124900,124900,120000,120000,123850,125000,124900,125000,125000,124925,125000,129000,129900,132350,135000,135000,139450,144700,145000,149994.5,150000,155000,159900,160000,165000,165000,169900,169900,168250,169900,172995,174900,176000,178950,180000,179900,179900,180000,183000,182700,184970,185000,189900,193000,194900,195000,194000,193900,195000,198000,199894,199900,199990,199900,199990,2e+05,210000,213750,215000,214900,218800,215000,215000,217000,219900,222750,225000,229000,230500,239055.5,240000,239900,240000,245000,249000,249900,250000,257450,259900,260000,263000,268950,270000,275000,275000,276500
"Upper West Side","New York","NY","New York-Newark-Jersey City","New York County",4,383500,399000,399000,417000,419000,412500,409500,4e+05,399999,4e+05,415000,415000,399000,4e+05,419000,423500,418250,419000,417500,399000,399000,399000,389000,385000,385000,385000,387000,387000,385000,384500,379700,375000,389000,375000,387000,379700,375000,379000,379000,379000,364500,379000,379000,364000,372000,360000,375000,375000,385000,390000,397000,390000,392500,399000,399000,4e+05,398500,419250,425000,415000,420000,4e+05,425000,417000,412000,417000,402500,402500,4e+05,409000,427000,430000,444000,437000,430000,430000,438000,450000,449500,449000,444000,459500,439000,439500,440000,440000,434500,440000,467000,459000,475000,475000,469000,469450,475000,485000,492000,480000,497000,499000,499000,499000,499000,499000,499000,499000,499000
"South Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499900,499900,499900,499900,499900,499900,5e+05,512444,504944,529900,535000,550000,550000,559000,559900,560000,560000,560000,560000,578940,579000,580444,595000,599900,599250,599000,599000,599900,620000,625000,635000,636000
"Upper East Side","New York","NY","New York-Newark-Jersey City","New York County",6,415000,425000,409000,405000,399000,399500,399000,399000,399000,399000,399000,399000,395000,395000,389000,388500,379000,379000,375000,375000,375000,375000,375000,377000,377000,375000,370000,375000,377000,375000,375000,369500,359000,378000,379000,370000,379000,380000,385000,395000,399000,399000,398000,399000,407500,399000,399000,395000,399000,399000,399000,402500,415000,399500,407499.5,412500,399000,399000,395000,399000,399000,399000,418000,412500,399000,399000,399000,399000,399000,399000,414500,419000,407500,426000,435000,420000,445000,426000,422000,419000,4e+05,412500,425000,425000,425000,445000,445000,450000,455000,469000,469500,475000,469000,459000,469000,467000,469000,469000,469000,469000,469999,475000,475000,475000,477000,463000,467000
"Sunrise Manor","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",7,134900,134061.5,134900,130000,130450,131000,129900,128500,125000,125000,125000,124850,124900,120750,120000,120000,119995,119990,119894,118250,117950,115000,115000,114949.5,114900,115900,116638.5,116638.5,117287,118000,117000,119000,119900,119900,120075,129850,125000,129850,134990,135000,139000,139995,140000,145000,150000,155000,155000,159900,159000,159000,156000,162225,164450,163894,164150,165000,165000,164900,164990,169500,168995,169900,169000,174000,175000,179900,178950,179900,180000,184000,184200,180000,180000,185000,185000,185000,185000,189900,189999,195294,195900,199000,199900,199694,199900,2e+05,208950,215000,216500,220000,220000,220000,224990,222849.5,225000,229900,235000,239000,238800,240000,240000,245000,245000,255000,255000,257250,260000
"Spring Valley","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",8,149900,146700,146700,145000,147500,145000,145000,144900,141900,139900,139900,139900,137500,135000,134900,134900,133000,134900,131000,130000,130000,129945,129900,129888,129000,129900,129999.5,130000,133900,134900,130000,132500,134950,136950,138000,140000,143900,145000,147000,148250,150000,154700,154999.5,160000,165000,169000,169900,174999,175000,175000,178990,179800,178450,180000,185000,190000,198000,195000,198000,199500,198450,197750,199900,209900,208000,205000,208649.5,209090,210000,209900,205000,209999.5,210000,212500,210000,214900,216000,219900,220000,224250,225000,227500,225000,227694,225000,230000,235000,235000,239000,245000,245000,249900,249990,250000,250000,259000,264900,265000,269000,269000,269900,274999.5,275000,285000,285000,289000,294000
"East New York","New York","NY","New York-Newark-Jersey City","Kings County",9,389000,389000,379000,379000,374000,370000,365000,359000,359000,354900,349000,349000,340000,341150,339450,345000,343075,342000,345500,342000,341150,349000,349000,349000,349000,349000,349000,349000,350000,359000,359000,359000,359000,355000,350000,359000,350000,350000,349000,349000,349000,349000,349000,349000,359000,354500,359000,372500,369999.5,369000,362500,370000,359000,349999,360000,359500,375000,372495,372499.5,350000,349950,360000,367000,360000,360000,382000,389000,389000,382000,399000,395000,399000,385000,399000,399999,410000,425000,425000,425000,425000,425000,425000,420000,415500,411000,407500,404999.5,407500,406878,399000,422000,429000,439000,450000,439000,439000,439000,429000,429000,432000,429000,439000,449000,439000,474999,469000,469000
"Paradise Valley","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",10,165000,167000,165000,164900,164900,159000,159000,159000,157900,150000,149900,149000,149500,148650,147900,145050,144900,143750,139825,137500,139900,139900,139950,139900,139900,141900,149200,149000,150000,158450,159500,164900,167500,168900,164900,167175,169900,172500,176000,182000,186660,190000,197100,202800,199925,203950,205000,209900,209000,210000,210000,212500,210900,212000,210000,212000,209950,209900,212250,215000,219900,220000,219900,224894.5,225000,226400,225397,224950,223900,228750,229000,232600,235000,236250,239400,239900,239900,244500,249900,249000,247000,244900,246450,245000,245000,253200,255000,255000,259000,259375,259900,259900,263700,265000,265000,268950,269500,274725,270000,274900,275000,278750,278500,279000,279500,279000,279900
"Washington Heights","New York","NY","New York-Newark-Jersey City","New York County",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,436500,425000,415000,403000,420000,417500,398500,392000,387000,379000,379000,379000,365000,379000,398500,398500,414300,412500,402000,395000,395000,395000,399500,399500,4e+05,4e+05,410000,420000,425000,429000,429000,429000,451000,494000,475000,475000,475000,475000,475000,479000,489000,475000,489862.5,499000,480362.5,487862.5,479000
"Deer Valley","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",12,155000,153200,153950,150150,150000,149900,149900,148000,145000,140000,141950,140000,140000,139900,138500,138244,135000,135900,133500,131500,132000,132500,132500,133500,134000,134200,135900,139900,139950,145000,146000,150000,152450,154900,150000,155000,159900,164000,169000,170000,175000,179450,180000,180000,184000,184900,185000,186500,186450,186000,189900,194900,199000,199700,199900,197450,199000,204999,207871,205000,205000,205000,204999.5,205000,209999.5,210000,208000,209999,210900,214900,215247.5,216250,215000,219900,220000,224500,225000,225000,229500,227500,229000,229000,229900,234900,236495,237500,237000,239900,239900,239900,247900,245000,248000,249000,249245,249000,249250,249900,254999,257000,259900,259900,259900,260000,264450,264975,265000
"North Mountain","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",13,154900,153000,149900,148950,148125,141750,139900,139900,139694,135000,135000,135000,135000,135000,134900,130000,130000,129900,127700,124900,122500,120000,120000,124900,125000,126450,129400,129900,135000,139900,139900,144000,143900,143900,144950,149250,149900,149999.5,155000,159000,159950,160000,164900,164900,169900,169000,170000,170000,174900,178000,179900,180000,182250,185000,186000,189776,195000,194900,189900,197500,192550,194950,194900,195000,197950,198950,199000,199900,2e+05,2e+05,2e+05,209700,206500,205000,209900,219999,219900,219900,220000,219999,219900,219450,225000,225000,225000,230000,226500,230000,229000,229949.5,230500,230532.5,236500,239000,238500,239250,239900,239900,242500,249900,250000,249999,249900,255000,255000,252900,259900
"Far North","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",14,152500,144250,143500,144950,154900,154075,154900,149900,149900,154950,154900,150000,154150,149500,149700,149900,155450,155000,155000,159700,149999.5,154000,155000,159900,159900,158950,155000,154900,159900,159000,159450,159900,164000,159900,164700,159500,145900,152950,154900,160000,159900,157900,154900,150000,150000,154995,159429,159000,159999,168500,165000,165000,164990,167250,175000,165000,152450,162900,162750,159000,155500,164750,169810,170000,184900,179900,184475,185750,193900,191444,192000,195000,190000,179000,173400,170000,185000,189900,198500,197450,179949.5,186495,189900,189825,184999.5,197450,2e+05,197950,202450,193900,210000,210000,209750,215000,219950,219950,222000,224900,224500,219000,240000,222500,227000,245000,242450,255000,264900
"Hollywood","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",15,479500,499000,449999,439000,432000,429000,432495,439000,399999.5,399000,421475,4e+05,429700,440000,444349,432000,404499.5,425000,427450,426000,399999,399000,399000,399950,399450,4e+05,405000,419000,4e+05,399500,4e+05,414000,422000,417000,448550,425000,445000,442000,458800,465000,489000,509499.5,499999,532450,532500,499450,499000,499450,519000,544000,535000,544050,544050,549000,539000,567000,548500,548500,549000,548500,555000,560000,579000,582500,580000,590000,594000,599000,599000,588500,589900,584450,598326.5,599000,585000,585000,599000,615000,619000,639000,629000,622000,639000,641950,645000,649000,654000,699000,699000,699000,695000,662500,679000,679000,697000,699000,695000,685000,699000,699000,699000,704944,695000,724500,702500,695000,712000
"Camelback East","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",16,169000,163949.5,165000,165500,164900,160000,159900,160000,159900,155000,158000,154950,154900,152000,150000,149900,146300,147400,145000,139900,134900,139000,139999,143500,144000,143700,149000,144950,149900,148900,149900,149950,149900,158500,163250,168000,169999,170000,175950,179000,179999.5,185000,189000,197500,199850,199800,2e+05,2e+05,2e+05,205000,209900,209950,205000,209000,209700,205000,209450,215000,215000,219350,219000,219000,219900,224900,225000,225000,225000,225000,225000,225000,225000,229000,229900,229000,229900,230000,230500,234700,238500,239000,239502.5,239950,245000,249000,247000,249900,250000,256752.5,260000,259000,269000,269000,265450,269900,269900,273900,273700,269999,274750,279900,280000,284900,283900,286000,283500,285000,289000
