"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",1,212000,215900,219900,224900,229000,225500,219900,219900,219000,219000,219000,209900,199700,204900,214900,209925,215000,215000,209000,205000,199500,199900,199900,195000,193249.5,199900,209925,2e+05,214250,214900,214900,199000,196000,199950,199900,199900,201000,215000,229900,224975,216500,229000,229900,234950,229900,219900,224900,229900,239000,241187.5,249900,259250,275000,269000,265000,270000,265000,254900,240000,239900,280000,289000,305000,308250,309000,309949.5,299000,295000,309999.5,312449.5,309900,310000,315000,315000,321200,339000,339000,335000,349000,348000,345000,346450,337000,324450,355000,384500,379000,384900,379900,369000,369900,369500,369250,368500,365000,365000,360000,379925,375000,390000,387500,385000,385000,375000,375000,377000,375000
"Paradise","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",2,131900,135000,134500,129999,129900,128000,125000,124999,123950,120000,119987,115100,115000,112000,114500,110000,110000,105800,108000,108951,109800,109900,105000,104900,104900,104900,104947.5,104900,109900,114900,110000,110000,110000,115000,119900,121700,123250,125000,129995,128000,132100,135000,130000,139945,145000,149900,149900,150000,150000,154900,156999,159900,160000,165000,166800,168600,169900,169900,169945,174400,175000,170000,175950,182150,184000,183000,184000,185000,185000,189945,190000,189000,189900,187000,189500,192500,195000,199888,199000,199999,206000,208200,2e+05,203500,205000,210000,215000,219900,220000,225000,230000,231950,234900,237750,235000,240000,242500,244990,249900,250000,250000,259444,259900,264950,264000,268900,269250
"Upper West Side","New York","NY","New York-Newark-Jersey City","New York County",3,2095000,1922500,1995000,2250000,2295000,2328700,2395000,2480000,2524000,2495000,2595000,2610000,2657500,2524500,2749500,2850000,2900000,2920000,2900000,2720000,2525000,2500000,2500000,2500000,2500000,2350000,2375000,2362500,2375000,2382500,2375000,2295000,2495000,2600000,2500000,2497500,2697000,2495000,2495000,2495000,2597500,2597500,2728000,2728000,2772000,2972500,2910000,2940000,2995000,3190000,2995000,2950000,2995000,2995000,3246000,2750000,3140000,3200000,3195000,3295000,3200000,3250000,3300000,3350000,3300000,3495000,3525000,3595000,3655000,3642500,3655000,3525000,3850000,3944000,3772500,3850000,3702500,3695000,3722500,3795000,3775000,3870000,3870000,3950000,3900000,3982500,4105000,3947000,4065000,3995000,3937000,3937000,3975000,3835000,3995000,3995000,4167500,4200000,4500000,4500000,4500000,4550000,4572500,4497500,4245000,4780000,4925000
"South Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",4,222450,220000,211000,220000,228200,229950,225000,225500,226850,225400,229450,229900,229900,227000,225000,220000,219950,215000,210000,220000,219900,215000,210300,214000,220000,224900,228500,225000,216950,219450,225000,224000,229200,239900,239900,239838.5,240000,249900,259900,257000,265000,272400,289000,285000,295000,297000,297500,299800,285000,292450,299000,320000,319900,324900,324000,327000,320000,325000,321500,317000,327000,330000,329950,339000,340000,330000,337000,339750,339700,350000,355000,355050,360000,359950,369999,380000,389000,389450,399000,397000,399000,399000,399000,399000,405000,420000,429450,440000,440000,445000,439950,455000,469950,479450,475000,475000,479900,485000,475000,479900,498000,504999.5,499945,499990,499000,499000,5e+05
"Upper East Side","New York","NY","New York-Newark-Jersey City","New York County",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3800000,3675000,3250000,3e+06,3350000,3362500,3250000,3675000,3750000,3850000,3625000,3695000,3750000,3750000,3950000,3685000,3662500,4160000,3965000,3750000,3822500,3800000,3747500,3850000,3995000,3800000,3977500,3875000,3950000,3960000,3685000,3675000,3685000,3500000,3500000,3500000,3675000,3689500,3742000,3650000,3650000,3650000,3500000,3697000,3845000,3746000,3795000,3847000,3975000,3962500,3895000,3695000
"Sunrise Manor","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",6,86900,86000,86100,86550,84900,80000,81950,80070,80000,80000,79900,79000,78400,75900,74970,75000,72900,72000,70000,70000,69900,69700,69245,67800,65700,66900,69300,69300,73800,75000,75000,79000,79900,79900,79900,81944,87400,89950,93999,94925,99000,1e+05,101728,114000,114000,114995,115000,117000,118000,119900,124900,124900,121775,124900,125000,130000,130000,130500,128000,129894,129900,129900,130000,133525,136450,135000,140000,144994.5,145000,144990,145000,145000,144900,147000,149900,150000,150000,153400,155900,159000,157500,159000,159900,159900,161000,165945,169900,169990,172000,172250,179048.5,179900,180000,185000,185000,185000,189789,195250,199990,2e+05,206000,214999.5,217950,224900,225000,225000,223000
"Spring Valley","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",7,145750,145000,145000,145000,146507.5,141900,140000,139900,139700,135000,137500,129900,129900,125000,125950,125000,125000,129000,125530,125000,125000,125000,124900,125000,125650,125350,129000,129945,135000,138000,131860,133000,135900,138500,136448,140000,145000,149900,149990,154700,160000,165000,160000,175000,178995,179000,180000,180000,185000,185000,187450,187450,185000,198000,2e+05,209450,213000,210000,214900,215000,220000,228000,227990,232750,232000,229000,229994.5,229999.5,231990,239894,234900,236990,239999.5,240000,244999.5,234900,243995,249200,245000,244900,247000,249900,249900,249000,254995,254997.5,255000,255000,259000,269000,269900,268250,278944,277500,279900,279900,284394,284995,284900,289900,294900,299888,299999,305000,305000,309950,310000
"Southeast Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",8,170000,165000,165500,160000,163450,174900,177250,179900,172450,169000,170000,175000,181450,195000,189000,180000,175000,184800,177450,180000,180000,175000,179000,173504.5,170000,175000,179900,180000,182200,180000,180000,189900,189050,185000,195000,199000,197000,207000,2e+05,202500,199950,219950,239000,234000,237999,249450,247000,249900,255000,255000,255000,259800,259900,262500,267750,262500,259000,257450,278000,279000,275000,282450,285000,284000,288250,290000,295000,309000,299000,299000,299000,299945,310000,310000,319250,319700,320000,324900,324950,325000,328000,326500,325000,329000,329000,329900,335000,335000,339949.5,348950,359558,359900,359900,365000,370000,375000,375000,382500,385000,385000,385000,395000,395000,394497.5,391997.5,399900,399999.5
"Far North","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",9,242000,244900,245000,254000,235000,235000,237900,235000,229950,235000,239900,230000,230000,229900,225000,225000,224900,224950,224325,219900,219000,215000,219900,215000,209947.5,210000,224500,234900,238450,239500,237900,229900,235000,239250,235000,229000,224950,228850,229000,236450,242949.5,254900,254900,254900,254700,249999.5,250000,249999,264450,267000,260000,260000,281949.5,281949.5,285000,280000,285000,299000,293000,299000,284950,309000,339000,312200,315000,319950,314500,315000,320000,325000,324999,305000,319900,329900,357450,329900,343500,354950,340000,339450,347000,339000,339900,339900,344900,366000,375000,379450,379000,398500,389000,379000,380000,369000,375000,379000,379000,370000,371500,380000,370000,363000,368950,375000,379900,377000,386900
"Camelback East","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,498900,495250,497200,485000,474900,425546.5,428071.5,429000,424900,429000,441593,445130.5,424500,434613,455000,449999,420000,429450,435000,439500,455000,474125,479999,476609,494495
"East Side","El Paso","TX","El Paso","El Paso County",11,129500,127500,127500,127710,129900,129900,130000,131950,129900,131975,134000,132500,130000,133000,131950,133450,138950,140450,139950,139635,138700,136500,133000,132950,132000,129770,133900,129900,130000,135000,134900,129900,129000,124900,125000,124500,124500,129000,128000,129600,129700,127950,129900,130000,130000,132500,134000,129950,129950,129000,129900,134450,129900,133500,130000,129900,129950,127000,127250,126000,126500,129770,129950,132000,134450,132450,134900,134500,135000,134000,135000,130000,130000,130000,129900,129950,138000,137975,138000,140450,144860,145000,139900,148900,144950,145000,148000,145500,145000,145000,143500,145000,149000,149250,145000,145000,145000,144750,144950,147450,142472.5,145000,139700,139900,139800,144200,139900
"Southeast Dallas","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",12,72499.5,74900,75000,74999.5,74999.5,74900,72250,69900,69900,70000,72000,68000,67000,66500,64647.5,63500,65000,69900,69900,69000,70000,69900,69900,69900,65000,61385,59900,59900,59000,61500,59000,59450,59000,57300,59900,62750,54950,58000,58000,64950,67750,70000,69949.5,69900,69900,67250,66900,67750,69900,64950,72000,77250,80000,78000,77500,78000,80500,79900,79500,84950,84700,85000,84450,90000,89999,90500,92500,99500,99900,1e+05,104990,105000,105000,107000,110000,110000,105000,105000,109950,111000,109900,110000,109800,110000,115000,119500,124900,129900,130499.5,130500,130000,129900,134900,135000,134500,135000,129900,129900,135000,135000,135000,138900,139450,148000,159900,159900,159900
"Enterprise","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",13,149500,149900,149900,149900,149900,145000,143450,143950,144990,144500,140000,139500,139000,138000,135000,134900,131500,131650,130600,130000,129900,129000,129800,128850,127000,127000,128600,129900,130894,134900,133100,134200,135000,139000,140000,145000,149900,150000,150000,155000,160000,165500,175000,185000,189000,189900,189900,189999.5,195000,199000,2e+05,202750,201000,209750,209990,209900,215000,215000,215000,214995,214900,217638.5,219450,220000,229900,224700,229500,229989.5,229000,230000,232500,232450,235000,229990,237000,239000,240000,249000,249000,249900,249990,249900,255000,258337.5,259000,258000,254700,260000,265000,270370,275000,279000,279990,279900,285000,285000,289000,290000,290000,299000,297000,295000,299000,305000,309998.5,308499.5,308999
"North Scottsdale","Scottsdale","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,663495,749995,771995,671995,698997.5,739000,798750,735495,744495,735495,749495,698800,725000,725000,779000,799000,798500,8e+05,798000,712495,765000,765000,798000,712450,687250,650000,696750,684750,635000,588990,637495,673000,697000
"Roosevelt","Fresno","CA","Fresno","Fresno County",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179975,176928,179900,179950,195000,207995,209900,197000,193500,193000,179950,180000,155000,175500,185000,178750,2e+05,209900,2e+05,203999.5,2e+05,199999,197700,205000,219950,197500,205000,211950,205000,215000,230000,224000,237000,229975,235000,234900,230000,219900,227450,228000,234900,219835,215000,236450,238400,223750,234900
"East San Jose","San Jose","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara County",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,462499.5,469000,464997.5,469995,489000,485000,486500,490000,489800,498888,479400,480000,479800,495000,519000,539888,530000,519950,539475,530000,542474.5,548000,545000,549000,548500,540000,549000,549000,565000,565000,575000,599000,599000,599000,598000,589000,598500,599444,610000,619500,615000,604924,629684.5,649000,639888,648888,658000,639990,670000,687000,690888,689944,719500,749000,729000,749000,749500,750000,749000,739999
"South Side","Corpus Christi","TX","Corpus Christi","Nueces County",17,159900,159900,159900,159900,159900,159900,159900,159900,155950,156000,159000,154900,154900,159900,159900,162825,167000,162900,165500,166000,148000,147450,144900,146900,149900,148000,145900,144000,145950,145000,149999,152500,149999,149000,153000,157900,149900,153200,154400,155432.5,164900,168000,160950,168450,166900,169900,167400,167400,169600,172400,173900,189950,185000,189900,189900,189700,185700,174900,179900,193450,196900,195950,198450,186825,189450,194000,197450,189900,189000,191000,205000,209000,199900,199900,204200,204200,199900,198900,199500,195900,199000,197000,199500,199500,189900,199500,209888,214450,212200,208400,208900,204900,201200,204900,209900,209900,204900,212000,209900,209000,199900,205000,199949.5,204900,210000,208500,199900
"Alief","Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",18,89900,89900,90000,93000,93000,92950,90000,90000,89900,89900,89700,89900,86000,85000,84900,84949.5,85000,82000,82000,86500,84900,81500,78494.5,79925,81500,79975,79925,74450,75000,75000,80000,82250,79950,79900,79975,82500,83000,83000,79950,81500,78750,85000,86750,92950,89999,89900,94900,89900,94950,95700,95182,95450,1e+05,106950,110000,115000,110000,111000,110000,110000,112500,111650,118000,120000,114900,112000,115000,118000,131000,130000,129900,134900,135000,135000,132000,135450,135000,138400,139900,138000,138000,139988.5,138250,138500,144000,149900,142500,138500,134950,139997.5,140000,135999,145000,147750,149900,149900,149500,150000,150000,155000,154950,154900,154950,155000,163450,157000,152000
"East Memphis-Colonial-Yorkshire","Memphis","TN","Memphis","Shelby County",19,138700,141900,139900,139000,139900,139900,145000,143000,139900,139000,134250,130000,127500,124950,126500,126900,129450,129900,129900,129900,129000,125000,125000,124900,119900,119900,123750,126500,130000,134700,129900,134800,129900,128950,129700,129900,129500,133000,133950,139900,139900,136900,134900,142000,138450,134000,130000,129900,125000,120000,125000,132900,129950,129950,129900,124950,129900,129900,129000,124999,119999.5,119900,123844,134900,133700,139900,140000,139000,127275,129000,126500,119900,118900,125000,126700,129900,125450,129900,139800,134950,134950,129997.5,129947.5,129500,125000,129500,127500,135940,135000,138000,140900,140000,145000,141000,157500,139900,119999,134900,140000,154800,165000,169900,194099,189950,176250,161250,169000
